participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,any_questions,english_first_language,country_of_birth
5739549114f69e00067becd8,filler,48,filler,26,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,6,active_v2,27,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,39,filler,28,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,33,filler,29,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,40,filler,30,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,23,filler,31,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,7,filler,32,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,1,passive_v2,33,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,43,filler,34,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,26,filler,35,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,19,PO_plausible,36,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,6,filler,37,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,13,filler,38,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,7,DO_implausible,39,Yes,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,20,filler,40,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,11,filler,41,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,17,filler,42,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,12,active_v1,43,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,5,passive_v1,44,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
